Year,Lake,Species,Michigan (MI),New York (NY),Ohio (OH),Pennsylvania (PA),U.S. Total,Canada (ONT),Grand Total,Comments
1991,Erie,American Eel,0,0,0,0,0,1,1,
1992,Erie,American Eel,0,0,0,0,0,0,0,
1993,Erie,American Eel,0,0,0,0,0,0,0,
1994,Erie,American Eel,0,0,0,0,0,0,0,
1995,Erie,American Eel,0,0,0,0,0,0,0,
1996,Erie,American Eel,0,0,0,0,0,0,0,
1997,Erie,American Eel,0,0,0,0,0,0,0,
1998,Erie,American Eel,0,0,0,0,0,0,0,
1999,Erie,American Eel,0,0,0,0,0,0,0,
1885,Erie,Blue Pike,,1166,3153,3570,7889,,7889,
1886,Erie,Blue Pike,,,,,,,,
1887,Erie,Blue Pike,,,,,,,,
1888,Erie,Blue Pike,,,,,,,,
1889,Erie,Blue Pike,,,,,,,,
1890,Erie,Blue Pike,,288,3955,3246,7489,,7489,
1891,Erie,Blue Pike,,,,,,,,
1892,Erie,Blue Pike,,,,,,,,
1893,Erie,Blue Pike,,,,,,,,
1894,Erie,Blue Pike,,,,,,,,
1895,Erie,Blue Pike,,,,,,,,
1896,Erie,Blue Pike,,,,,,,,
1897,Erie,Blue Pike,,396,1787,2669,4852,,4852,
1898,Erie,Blue Pike,,,,,,,,
1899,Erie,Blue Pike,,809,2213,1523,4545,,4545,
1900,Erie,Blue Pike,,,,,,,,
1901,Erie,Blue Pike,,,,,,,,
1902,Erie,Blue Pike,,,,,,,,
1903,Erie,Blue Pike,,1003,1733,2179,4915,,4915,
1904,Erie,Blue Pike,,,,,,,,
1905,Erie,Blue Pike,,,,,,,,
1906,Erie,Blue Pike,,,,,,,,
1907,Erie,Blue Pike,,,,,,,,
1908,Erie,Blue Pike,,1805,4004,2925,8734,,8734,
1909,Erie,Blue Pike,,,,,,,,
1910,Erie,Blue Pike,,,,,,,,
1911,Erie,Blue Pike,,,,,,,,
1912,Erie,Blue Pike,,,,,,,,
1913,Erie,Blue Pike,,39,1804,4000,5843,,5843,OH: Records cover only part of season.
1914,Erie,Blue Pike,,462,8545,2852,11859,,11859,
1915,Erie,Blue Pike,,886,13079,4796,18761,4882,23643,
1916,Erie,Blue Pike,,289,7683,1408,9380,2539,11919,
1917,Erie,Blue Pike,,18,1499,88,1605,566,2171,
1918,Erie,Blue Pike,,75,1069,79,1223,785,2008,
1919,Erie,Blue Pike,,63,1532,80,1675,2388,4063,
1920,Erie,Blue Pike,,169,3494,302,3965,3355,7320,
1921,Erie,Blue Pike,,367,5836,2741,8944,6367,15311,
1922,Erie,Blue Pike,,565,7202,2593,10360,6313,16673,
1923,Erie,Blue Pike,,642,6028,3013,9683,3194,12877,
1924,Erie,Blue Pike,,527,5363,3077,8967,2988,11955,
1925,Erie,Blue Pike,,,4047,,4047,3330,7377,
1926,Erie,Blue Pike,,2170,4234,2936,9340,2975,12315,
1927,Erie,Blue Pike,,475,4637,2190,7302,3078,10380,
1928,Erie,Blue Pike,,449,3743,627,4819,2104,6923,
1929,Erie,Blue Pike,,305,1803,713,2821,2538,5359,
1930,Erie,Blue Pike,,564,9017,2211,11792,5898,17690,
1931,Erie,Blue Pike,,1103,7849,3690,12642,5358,18000,
1932,Erie,Blue Pike,,475,7784,1607,9866,3962,13828,
1933,Erie,Blue Pike,,304,6735,1747,8786,4152,12938,
1934,Erie,Blue Pike,,459,5765,2132,8356,2298,10654,
1935,Erie,Blue Pike,,460,7142,2084,9686,5064,14750,
1936,Erie,Blue Pike,,624,16447,2837,19908,6879,26787,
1937,Erie,Blue Pike,,1638,7020,2304,10962,9355,20317,
1938,Erie,Blue Pike,,1064,6154,1442,8660,7158,15818,
1939,Erie,Blue Pike,,529,7263,1257,9049,5911,14960,
1940,Erie,Blue Pike,,97,4541,313,4951,2012,6963,
1941,Erie,Blue Pike,8,33,3029,217,3287,1544,4831,
1942,Erie,Blue Pike,4,98,5296,824,6222,4405,10627,
1943,Erie,Blue Pike,,809,8055,2364,11228,9614,20842,
1944,Erie,Blue Pike,,1526,11278,2129,14933,9390,24323,
1945,Erie,Blue Pike,,843,5167,1762,7772,6559,14331,
1946,Erie,Blue Pike,1,111,2550,351,3013,1909,4922,
1947,Erie,Blue Pike,1,78,2896,145,3120,1646,4766,
1948,Erie,Blue Pike,20,553,6957,1473,9003,5742,14745,
1949,Erie,Blue Pike,,905,10616,2479,14000,9784,23784,
1950,Erie,Blue Pike,,178,4900,1112,6190,8611,14801,
1951,Erie,Blue Pike,,109,1867,174,2150,3914,6064,
1952,Erie,Blue Pike,0,158,5531,1081,6770,7267,14037,
1953,Erie,Blue Pike,,265,6853,924,8042,10333,18375,
1954,Erie,Blue Pike,,319,4576,1349,6244,8151,14395,
1955,Erie,Blue Pike,,1634,3679,2335,7648,12037,19685,
1956,Erie,Blue Pike,,921,4703,1231,6855,12002,18857,
1957,Erie,Blue Pike,,437,2915,629,3981,6389,10370,
1958,Erie,Blue Pike,,136,366,74,576,824,1400,
1959,Erie,Blue Pike,,7,20,5,32,47,79,
1960,Erie,Blue Pike,,0,7,0,7,4,11,
1961,Erie,Blue Pike,,0,2,0,2,0,2,
1962,Erie,Blue Pike,,0,0,1,1,0,1,
1963,Erie,Blue Pike,,0,0,0,0,0,0,
1964,Erie,Blue Pike,,0,0,0,0,0,0,
1965,Erie,Blue Pike,,,0,,0,,0,
1966,Erie,Blue Pike,,,0,0,0,,0,
1967,Erie,Blue Pike,,0,0,0,0,,0,OH:Fishery closed.
1968,Erie,Blue Pike,,0,,0,0,,0,
1969,Erie,Blue Pike,,0,,0,0,,0,
1970,Erie,Blue Pike,,0,,0,0,,0,
1971,Erie,Blue Pike,,,,0,0,,0,
1978,Erie,Bowfin,0,0,0,0,0,25,25,
1979,Erie,Bowfin,0,0,0,0,0,27,27,
1980,Erie,Bowfin,0,0,0,0,0,15,15,
1981,Erie,Bowfin,0,0,0,0,0,37,37,
1982,Erie,Bowfin,0,0,0,0,0,23,23,
1983,Erie,Bowfin,0,0,0,0,0,82,82,
1984,Erie,Bowfin,0,0,0,0,0,24,24,
1985,Erie,Bowfin,0,0,0,0,0,0,0,
1986,Erie,Bowfin,0,0,0,0,0,0,0,
1987,Erie,Bowfin,0,0,0,0,0,0,0,
1988,Erie,Bowfin,0,0,0,0,0,0,0,
1989,Erie,Bowfin,0,0,0,0,0,0,0,
1990,Erie,Bowfin,0,0,0,0,0,12,12,
1991,Erie,Bowfin,0,0,0,0,0,0,0,
1992,Erie,Bowfin,0,0,0,0,0,0,0,
1993,Erie,Bowfin,0,0,0,0,0,0,0,
1994,Erie,Bowfin,0,0,0,0,0,0,0,
1995,Erie,Bowfin,0,0,0,0,0,0,0,
1996,Erie,Bowfin,0,0,0,0,0,0,0,
1997,Erie,Bowfin,0,0,0,0,0,0,0,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Bowfin,0,0,0,0,0,33,33,
1999,Erie,Bowfin,0,0,0,0,0,43,43,
2000,Erie,Bowfin,,,,,,,,
2001,Erie,Bowfin,,,,,,,,
2002,Erie,Bowfin,,,,,,,,
2003,Erie,Bowfin,,,,,,,,
2004,Erie,Bowfin,,,,,,,,
2005,Erie,Bowfin,,,,,,,,
2006,Erie,Bowfin,,,,,,,,
2007,Erie,Bowfin,,,,,,,,
2008,Erie,Bowfin,,,,,,,,
2009,Erie,Bowfin,,,,,,,,
2010,Erie,Bowfin,,,,,,0,0,
2011,Erie,Bowfin,,,,,,0,0,
2012,Erie,Bowfin,1.915,,,,1.915,17,18.915,
2013,Erie,Bowfin,,,,,,,,
2014,Erie,Bowfin,0.18,,,,0.18,,0.18,
2015,Erie,Bowfin,0.338,,,,0.338,,0.338,
2016,Erie,Bowfin,2.333,,,,2.333,,2.333,
2017,Erie,Bowfin,,,,,,,,
2018,Erie,Bowfin,,,,,,,,
2019,Erie,Bowfin,0.3,,,,0.3,,0.3,
2020,Erie,Bowfin,,,,,,,,
1978,Erie,Buffalo,21,0,36,0,57,0,57,
1979,Erie,Buffalo,19,0,33,0,52,0,52,
1980,Erie,Buffalo,36,0,29,0,65,0,65,
1981,Erie,Buffalo,30,0,32,0,62,0,62,
1982,Erie,Buffalo,22,0,36,0,58,0,58,
1983,Erie,Buffalo,8,0,44,0,52,0,52,
1984,Erie,Buffalo,1,0,59,0,60,0,60,
1985,Erie,Buffalo,1,0,78,0,79,0,79,
1986,Erie,Buffalo,15,0,53,0,68,0,68,
1987,Erie,Buffalo,18,0,50,0,68,0,68,
1988,Erie,Buffalo,9,0,45,0,54,0,54,
1989,Erie,Buffalo,20,0,73,0,93,0,93,
1990,Erie,Buffalo,40,0,132,0,172,0,172,
1991,Erie,Buffalo,0,0,203,0,203,0,203,
1992,Erie,Buffalo,0,0,397,0,397,0,397,
1993,Erie,Buffalo,0,0,320,0,320,25,345,
1994,Erie,Buffalo,0,0,295,0,295,0,295,
1995,Erie,Buffalo,0,0,270,0,270,0,270,
1996,Erie,Buffalo,0,7,330,0,337,31,368,
